title,heading,paragraph
5 Ways to Spot Clean Carpet - wikiHow,Spray the stain with the water so it is totally covered.,"Using the spritzer bottle, soak the blood stain with the soapy water. Dried blood is likely to need more spraying than fresh blood will need. Dont over-saturate the carpet, but make sure the stain is soaked.[9]"
5 Ways to Spot Clean Carpet - wikiHow,"Dab at the stain with a clean, white cloth.","Take a cloth and put pressure on the stain, allowing the cloth to soak up as much of the blood as possible. Its important to use a white cloth so that no color from the cloth transfers to the carpet. A paper towel with no printing works great and allows you to toss it in the trash after the clean up. If the first round of spraying and dabbing does not fully remove the stain, get a clean cloth and repeat the process as necessary."
5 Ways to Spot Clean Carpet - wikiHow,Mix one tablespoon of ammonia with cup warm water.,"If the stain does not come up completely with dish soap and water, try the harsher cleaning power of ammonia. Mix the liquids in a cup that you can easily dip a cloth into.[10]"
5 Ways to Spot Clean Carpet - wikiHow,"Use a clean, white cloth to dab at the stain until it is removed.",Make sure to use a different cloth than you used before so it is free of blood. Wet the cloth with the mixture and press it into the stain until it comes up completely.
5 Ways to Spot Clean Carpet - wikiHow,Clean up as much of the mess as you can.,"Anytime you spill on carpet, speed is the most important factor. The longer a mess sits, the more it soaks in. Lay a towel over a fresh spill and let the towel soak up the liquid. For solid messes, scoop or vacuum up as much as you can before you use a cleaner."
5 Ways to Spot Clean Carpet - wikiHow,Spray or sprinkle a spot cleaning product on the mess.,"Most manufactured spot cleaners come in a convenient spritzer bottle or aerosol spray can. You may also have a powder cleaner which youd sprinkle on the stain. Cover the stain completely but dont saturate the carpet. Be very careful not to over-saturate your carpet with the cleaner. If you spray too much product on the carpet, the suds can be hard to remove and may damage your carpet. It's better to use less soap and then do another application if necessary. Follow the specific instructions on the container anytime you use these products. Look for spot cleaning products at most big-box stores, home improvement stores, and many grocery or dollar stores."
5 Ways to Spot Clean Carpet - wikiHow,Let the cleaner sit for as long as directed.,"Some cleaners may only need to sit for 10 seconds, but others may need 10 minutes or more to do their work effectively. Dont be too eager to wipe them up. Give them time to work."
5 Ways to Spot Clean Carpet - wikiHow,"Soak up the cleaner with a dry, white towel.","Using either a clean rag or paper towel, gently apply pressure to the stain so the rag or towel can soak it up. Press a dry portion of the rag into the spot at least twice to pull up as much as possible."
5 Ways to Spot Clean Carpet - wikiHow,Spray the stain a second time if the first time does not remove it completely.,"Some bad stains may need to be treated more than once, and this is up to your judgment. If you are not satisfied with how the spot looks after you clean it, repeat the above process as needed."
How to Extract Oil from Fruit Peels: 2 Best Ways,Wash the materials and peel the fruit.,"Wash your hands and the fruit you will be extracting oil from. Cold pressing doesnt involve chemicals for extraction, so its important to thoroughly wash the fruit to remove bacteria. Remove the rind of the fruit with a peeler or knife and place it to the side. You may also remove the rind of the fruit with your fingers if you desire, but this can cause a greater amount of pulp and other fruit material to end up in the oils, which will need to be removed later. The greatest concentration of oils in most fruit is contained in the outer layer of the rind. The lighter portion of the rind contains much less oil. You can use an electric peeler to obtain the skin of the fruit, but note that this may produce more pulp than a hand peeled method."
How to Extract Oil from Fruit Peels: 2 Best Ways,Reuse the leftover peels.,"Once the fruit is peeled, you can use the leftover fruit for cooking or eating. There are a variety of uses for the leftover fruit peel, even after pressing. Rather than composting the peel, try: Keeping the peels in a small bag and hanging it somewhere to keep the room smelling zesty. The oil in orange peel, limonene, acts as a repellant for several types of insects. Toss a few peels into the garbage disposal and give them a good grinding to freshen up the smell of your sink.[1]"
How to Extract Oil from Fruit Peels: 2 Best Ways,Press the fruit peel.,"Use a pressing device, such as a sieve, to squeeze the fruit peel over a jar. Heavy pressure will squeeze liquid from the peel - this liquid contains the oils you're looking for. Use a fair amount of strength when pressing, but take care not to damage or break the implement you are using. You should see a small amount of oil drain from the peel after a few seconds. Cold pressing peel is quite a bit of effort for what looks to be a fairly small amount of oil. Dont get discouraged. The oil is quite potent. A garlic press is a great way of pressing small amounts of fruit peel with ease. A mortar and pestle may also be used, though this method is a little more labor intensive and difficult."
How to Extract Oil from Fruit Peels: 2 Best Ways,Separate the oils.,"Allow the liquid squeezed from the peel to stand for a few days. The oil will separate from the rest of the liquid, which can then be collected. A centrifuge can also be used to separate the oil from the rest of the liquid! A simple way of collecting the oil from the liquid is placing the liquid in the freezer. The oil will remain in its liquid form while the remainder freezes, allowing you to pour out the oil.[2] Oil extracted this way has a small shelf life. Try to use any oil created within a 6 month period."
